id,headlines,text,ctext,ctext_len
14,"Nearly 2,300 CPWD buildings in Delhi unsafe: Union Minister","A Union Minister of State for Home Affairs informed the Lok Sabha on Wednesday that Delhi's 2,297 residential buildings under the Central Public Works Department were found to be ""unsafe"". Another 124 buildings under the New Delhi Municipal Council were identified as dangerous. The authorities said that they conduct surveys of unsafe buildings every year and undertake required actions.","As many as 2,297 residential buildings under the CPWD in Delhi have been identified as ?unsafe?, the Lok Sabha was informed on Wednesday.The number of unsafe or dangerous buildings under the New Delhi Municipal Council stands at 124, Union minister of state for home affairs Hansraj Gangaram Ahir said.Also, 17 buildings have been found ?unsafe? in areas falling under three municipal corporations, with 14 in north, two in east and one in south Delhi.?The Central Public Works Department (CPWD) has informed that 2,297 buildings have been identified as unsafe residential buildings in Delhi,? Ahir said in a written reply.The three municipal corporations, New Delhi Municipal Council and CPWD intimated that every year the survey of unsafe/dangerous building is carried out and necessary action for demolition of the same is undertaken, it stated.The reply also said that this is a continuous process every year and corrective action is taken.",147
17,Maruti spare parts trigger bomb scare at Delhi airport,"Bomb squads and canine teams were rushed to check a package recovered in the cargo hold area of Delhi airport on Wednesday. Officials later declared the area safe, adding, ""the suspect item was nothing but some spare parts of company Maruti."" Its X-ray image had raised suspicion among airport staff. ","New Delhi, Aug 2 (PTI) Bomb squads and canine teams were today rushed in to check a suspect object that was recovered at the cargo hold area of the IGI airport here, later declared safe after it was found that the consignment only contained some auto spare parts. CISF Director General O P Singh said the ""suspect item has been declared safe and there is nothing to worry about"". At 7.15 am, an X-ray image of a consignment of Maruti spare parts raised suspicion among the staff of the domestic cargo terminal, according to sources in the Bureau of Civil Aviation Security (BCAS). The terminal staff immediately alerted the CISF, who along with a team of BCAS and a bomb detection and disposal squad rushed to the spot. ",128
27,German hiker found in Swiss Alps 30 yrs after disappearance,"The remains of a German hiker, who disappeared while climbing in the Swiss Alps 30 years ago, have been found embedded in a glacier, police officials said. The remains were found by two people climbing the Lagginhorn mountain, they added. Recently, bodies of a Swiss couple who went missing 75 years ago were found perfectly preserved in the Alps.","The remains of a German hiker who disappeared while climbing in the Swiss Alps 30 years ago has been found embedded in a glacier, police said on Wednesday. The find was made on July 25 by two people climbing the Lagginhorn mountain, in southern Switzerland, police said in a statement. A few hundred metres before reaching the peak, the hikers spotted ?a hand and two shoes?, area police said. Extracting the remains that day was impossible because of poor weather, but rescue workers arrived by helicopter the following day, removed the remains from the ice and brought them to a hospital in the capital Bern for identification. Test have confirmed the climber was a German national born in 1943 who disappeared on August 11, 1987. The discovery came just two days after a Swiss couple who disappeared while walking in the Alps in 1942 were found in a receding glacier.",149
28,Veteran actor Dilip Kumar hospitalised in Mumbai,"Veteran actor Dilip Kumar has been admitted to Lilavati Hospital in Mumbai, following kidney complications and dehydration. The doctors treating the 94-year-old actor have said that he is stable and currently recuperating in the general ward while adding, ""There is no cause for concern."" The veteran actor had also been hospitalised twice last year due to medical reasons.","Yesteryear superstar Dilip Kumar was rushed to Lilavati Hospital on Wednesday owing to kidney complications and dehydration.Doctors said he is stable and currently recuperating in the general ward. ?There is no cause of concern.??The major reason of his admission was dehydration, which simultaneously impacts other organs as well,? doctors at the hospital said.The 94-year-old Bollywood actor has been facing medical complications in recent years. Last year, he was hospitalised in April due to fever and nausea, and in December to treat a swelling in his right leg.Kumar has acted in over 65 films in his career spanning over six decades and is known for his iconic roles in movies like Devdas (1955), Naya Daur (1957), Mughal-e-Azam (1960), Ganga Jamuna (1961), Kranti (1981), and Karma (1986).He is also honored with Padma Bhushan in 1991, Dadasaheb Phalke Award in 1994 and India?s second highest civilian award, Padma Vibhushan, in 2015. The Government of Pakistan has honoured him with its highest civilian honour, the Nishan-e-Imtiaz, in 1997.Follow @htshowbiz for more",166
31,Amarnath Yatra attack mastermind to be Kashmir LeT chief,"Abu Ismail, mastermind of the Amarnath Yatra attack, will reportedly replace Abu Dujana as the Kashmir division chief of Lashkar-e-Taiba (LeT). Dujana was killed by the security forces on Tuesday after a seven-hour gunfight in south Kashmir's Pulwama district. Notably, eight pilgrims were killed and 18 were injured in the Amarnath Yatra attack last month. ","Slain Lashkar-e-Taiba (LeT) commander Abu Dujana will be replaced by Abu Ismail. Ismail will be the new Kashmir division chief of LeT after Dujana was killed by the security forces on Tuesday after a seven-hour gunfight in south Kashmir's Pulwama district. LeT commander Abu Ismail, a Pakistani national, was the mastermind of the deadly attack on Amarnath Yatra in which seven pilgrims, including six women, were killed and 19 were injured. Proactive operations have been launched, mainly in south Kashmir, to track down Ismail as investigations including communication intercepts have pointed out to his involvement in the attack on Amarnath pilgrims.Attack in Anantnag appears to be a reprisal for killing of several Lashkar militants including Bashir Lashkari in an encounter with security forces earlier this month. WHO WAS ABU DUJANA: (With inputs from Jitendra Bahadur Singh) Also read:Abu Dujana encounter: Jilted lover turned informer led security forces to LeT commander Top Lashkar-e-Taiba terrorist Abu Dujana killed in Pulwama encounter",158
35,Trump campaign was dysfunctional for any collusion: Kushner,"US President Donald Trump's campaign could not have colluded with Russia because the team was too dysfunctional and disorganised to coordinate with a foreign government, the President's son-in-law and senior adviser Jared Kushner has claimed. Notably, Kushner had acknowledged four meetings with Russians during and after Trump's presidential bid and insisted that he had ""nothing to hide"". ","President Donald Trump?s son-in-law says the Trump campaign couldn?t have colluded with Russia because the team was too dysfunctional and disorganised to coordinate with a foreign government.Jared Kushner, a senior adviser to the president, made the comment Monday during a closed-door session with congressional interns.A Democratic congressional aide says Kushner was responding to a question about Special Counsel Robert Mueller?s investigation into whether the Trump campaign colluded with Moscow.ForeignPolicy.com first reported Kushner?s remarks. The aide was knowledgeable of the meeting and confirmed the accuracy of the comments.Last week, Kushner met privately at the Capitol with members of the Senate and House intelligence committees.He acknowledged four meetings with Russians during and after Trump?s victorious White House bid and insisted that he had ?nothing to hide.?",123
46,"Ramdev, Sonakshi to judge bhajan reality show: Reports","According to reports, yoga guru Ramdev and actress Sonakshi Sinha will be part of the judging panel on upcoming reality show 'Om Shanti Om'. The show will be aired on Life OK, which is set to re-brand itself as Star Bharat. The judging panel will also include singers Shekhar Ravjiani and Kanika Kapoor. ","Life OK, which is geared up to re-brand itself as Star Bharat is coming up with a unique reality show. They have collaborated with Colosceum Media, that has produced shows like Roadies, Splitsvilla and MasterChef to launch a bhajan reality show.  The show will be judged by Yoga guru Baba Ramdev, Bollywood actress Sonakshi Sinha, music director Shekhar Ravjiani and singer Kanika Kapoor. Aparshakti Khurana, who was last seen in Super Night with Tubelight will host the show. According to reports, the shoot has already begun. Their first shoot was held on Tuesday at a studio in Powai, where actor Ranveer Singh was the first guest on the show with guest performances by Naagin actress Mouni Roy and rapper Badshah. ""It's a youth-oriented show and the contestants will be singing bhajans and devotional songs set to contemporary tunes. Sonakshi is the perfect combination of the traditional and the modern. She also has a great connect with youngsters,"" informed a source to Times of India. ",164
49,Punjab cop thrashes vendor who refused to pay bribe,"A video of a policeman thrashing a vendor outside a passport office in Punjab's Ludhiana has gone viral. The victim, who sells file covers at a makeshift stall, was beaten by the cop after he reportedly refused to pay ?100 bribe. After the video went viral, Ludhiana Police Commissioner RN Dhoke initiated a departmental inquiry against the cop. ","After the video of a policeman hitting a man outside the passport office on Link Road in Ludhiana went viral, the commissioner of police, RN Dhoke, on Tuesday marked an inquiry to the assistant commissioner of police (ACP),  Atam Nagar, Naveen Kumar.The victim, Gurdeep Singh of Khud Mohalla, who sells file covers outside the passport office, said that on Monday while he was making sales from his makeshift stall, two PCR cops turned up there. One of them allegedly demanded Rs 100 as bribe to allow him to continue his work; and started thrashing him when he refused to pay.Some onlookers captured the incident in a mobile camera and put it up on Facebook.In-charge at the Atam Nagar police post under whose jurisdiction the area falls, ASI Dharminder Kumar, however claimed that Gurdeep ?gave in writing, in the present of people, that he does not want any action on the cop?.Later, commissioner Dhoke marked the departmental inquiry against the PCR cop, head constable Harvinder Singh.",165
50,Mumbai court convicts 15 Somali pirates in 2011 case,"A Mumbai court has convicted 15 Somali pirates to 7 years of imprisonment in a 2011 case. The pirates were found guilty of attempt to murder and kidnapping for taking 22 people hostage on board a commercial ship from Thailand. This is one of the four cases registered against 120 Somali pirates, for holding 91 people from different countries hostage."," A session court in Mumbai convicted 15 Somali pirates for 7 years of imprisonment in a 2011 case. The pirates had taken 22 people aboard a commercial ship from Thailand hostage. They have been found guilty of attempt to murder and kidnapping. This is one of the four cases registered in 2011 against a total of 120 Somali pirates, for holding 91 people from different countries hostage. The sessions court pronounced the verdict in the first of the four cases, where the pirates? mother vessel carrying heavy arms and ammunitions was intercepted in 2011, and the pirates were caught.The coast guard and navy, in a joint operation, then rescued the 22 men being held hostage on the ship. The men were Thai nationals and the ship was called Prantalaya. They also captured the 15 Somali pirates who jumped into the sea and took them into custody. The vessel had been captured by the pirates in 2010. They had been using it as their mother vessel since then.",167
52,Successive governments short-changed Air India: TMC leader,"TMC leader Dinesh Trivedi has said that successive governments have ""short changed"" Air India by treating it like their private properties. Trivedi urged the government to reconsider its decision to privatise it. ""As the government operates BSNL and MTNL in communications and Doordarshan and All India Radio in broadcasting, it should have a national carrier as well,"" he added.","New Delhi, Aug 2 (PTI) Successive governments have ""short changed"" Air India by treating it like their private properties, TMC leader Dinesh Trivedi said today as he urged the Centre to review the decision to divest stake in the airline. ""By just looking at the debt and ignoring the revival signs would be to take a narrow view of the situation,"" the former railway minister said. As part of efforts to revive the national carrier, the Cabinet has given in-principle approval for divestment and the final contours are being worked out by a group of ministers. ""If Air India today is in this financial situation it was not because of Air India but successive governments have short-changed Air India and treated it like their private properties and at times private airlines, be international or domestic came under category of favoured airlines,"" Trivedi told PTI. Against this backdrop, Trivedi said it is evident that there is potential for further growth of Air India if the turnaround plan continues along with other rationalisation measures. ",172
